date,ETF,Sector,Close,Volume,return_5d,return_20d
2024-04-04,XLC.US,Communication Services,81.69,8000474,0.012241400416207693,-0.028400048965601554
2024-04-05,XLC.US,Communication Services,82.52,6619541,-0.014420746485700464,-0.02799321376635966
2024-04-08,XLC.US,Communication Services,82.53,3503083,-0.02702047740215685,-0.01490367139222104
2024-04-09,XLC.US,Communication Services,82.62,4733060,-0.031348341805858215,-0.01488743645606394
2024-04-10,XLC.US,Communication Services,81.97,6845389,-0.024521166280346507,-0.00866170550201284
2024-04-11,XLC.US,Communication Services,82.69,4073126,-0.028298464143185487,-0.012335227959849981
2024-04-12,XLC.US,Communication Services,81.33,5997208,-0.022869789745481373,0.005655969506947134
2024-04-15,XLC.US,Communication Services,80.3,6494651,-0.008966376089663775,0.016687422166874244
2024-04-16,XLC.US,Communication Services,80.03,7501028,0.009496438835436827,0.024740722229164014
2024-04-17,XLC.US,Communication Services,79.96,4862316,0.011005502751375795,0.032141070535267824
2024-04-18,XLC.US,Communication Services,80.35,4539412,-0.02974486621032979,0.0263845675171126
2024-04-19,XLC.US,Communication Services,79.47,6854590,0.008053353466717095,0.03951176544608037
2024-04-22,XLC.US,Communication Services,79.58,5458377,-0.005026388539834059,0.04109072631314392
2024-04-23,XLC.US,Communication Services,80.79,5068076,-0.036266864710979174,0.024136650575566243
2024-04-24,XLC.US,Communication Services,80.84,6196627,-0.027956457199406315,0.02474022761009409
2024-04-25,XLC.US,Communication Services,77.96,14354205,0.018086198050282443,0.05053873781426388
2024-04-26,XLC.US,Communication Services,80.11,13015582,0.0012482836100360384,0.035451254525028064
2024-04-29,XLC.US,Communication Services,79.18,5357833,0.026774437989391053,0.04938115685779243
2024-04-30,XLC.US,Communication Services,77.86,7333542,0.045337785769329564,0.06152067814025175
2024-05-01,XLC.US,Communication Services,78.58,9300489,0.03410537032323746,0.04835836090608292
2024-05-02,XLC.US,Communication Services,79.37,6956776,0.028978203351392118,0.04901096132039817
2024-05-03,XLC.US,Communication Services,80.21,4813307,0.019698291983543337,0.04213938411669371
2024-05-06,XLC.US,Communication Services,81.3,4714007,0.0041820418204181475,0.03210332103321023
2024-05-07,XLC.US,Communication Services,81.39,3453291,0.007617643445140709,0.04349428676741618
2024-05-08,XLC.US,Communication Services,81.26,2941307,0.015628845680531578,0.04577898104848632
2024-05-09,XLC.US,Communication Services,81.67,3995915,0.009795518550263171,0.03342720705277347
2024-05-10,XLC.US,Communication Services,81.79,3563948,0.010025675510453524,0.034478542609120755
2024-05-13,XLC.US,Communication Services,81.64,2715476,0.014821166095051463,0.03833904948554623
2024-05-14,XLC.US,Communication Services,82.01,2730128,0.008901353493476316,0.03145957810023159
2024-05-15,XLC.US,Communication Services,82.53,3487826,0.0037562098630801177,0.016115351993214677
2024-05-16,XLC.US,Communication Services,82.47,3136621,-0.00691160421971615,0.020128531587243703
2024-05-17,XLC.US,Communication Services,82.61,2714109,0.00411572448856079,0.02324173828834275
2024-05-20,XLC.US,Communication Services,82.85,2157326,0.0028968014484007654,0.014242607121303541
2024-05-21,XLC.US,Communication Services,82.74,2317232,-0.0010877447425668985,0.019941986947063173
2024-05-22,XLC.US,Communication Services,82.84,2602592,-0.005552873008208725,0.025350072428778292
2024-05-23,XLC.US,Communication Services,81.9,3534127,0.016605616605616547,0.03785103785103772
2024-05-24,XLC.US,Communication Services,82.95,2027996,0.007715491259794982,0.03616636528028927
2024-05-28,XLC.US,Communication Services,83.09,2786224,0.009868816945480807,0.034540859309182714
2024-05-29,XLC.US,Communication Services,82.65,2769017,0.02758620689655178,0.04597701149425282
2024-05-30,XLC.US,Communication Services,82.38,2942203,0.031561058509347095,0.03981548919640687
2024-05-31,XLC.US,Communication Services,83.26,3600112,0.013692049003122708,0.02450156137400894
2024-06-03,XLC.US,Communication Services,83.59,5947645,0.01220241655700427,0.029548989113530322
2024-06-04,XLC.US,Communication Services,83.91,2878997,0.010249076391371625,0.025980216899058606
2024-06-05,XLC.US,Communication Services,84.93,4160624,-0.004003296832685743,0.033321558930884176
2024-06-06,XLC.US,Communication Services,84.98,3184456,-0.01317957166392103,0.023417274652859366
2024-06-07,XLC.US,Communication Services,84.4,3463007,-0.003199052132701552,0.033649289099525914
2024-06-10,XLC.US,Communication Services,84.61,3442864,-0.000945514714572715,0.0375842099042667
2024-06-11,XLC.US,Communication Services,84.77,5804279,-0.008729503362038371,0.0214698596201488
2024-06-12,XLC.US,Communication Services,84.59,4248012,-0.002364345667336565,0.020333372739094413
2024-06-13,XLC.US,Communication Services,83.86,3595476,0.012878607202480241,0.03291199618411644
